Village,hhid,dogid,sex,birthdate,deathdate,deathcause,encdate,alive,dead,age,pregnant,pups,exitdate,bcs2,year,roundyrs,lagvacc,deathage2,_st,_d,_t,_t0,sch1,sch2,sch3,sch4,sch5,sch6,sch7,sch8,sch9,sch10,sch11,sch12,sch13,sch14,sch15,sch16,sch17,sca1,sca2,sca3,sca4,sca5,sca6,sca7,sca8,sca9,sca10,sca11,sca12,sca13,sca14,sca15,sca16,sca17
Buyubi,Bhh004,b005,male,5 /15/2010,,,8 /16/2011,1,0,15,0,0,28/08/2013,3,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b005,male,5 /15/2010,,,8 /16/2012,1,0,27,0,0,28/08/2013,3,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b005,male,5 /15/2010,,,8 /28/2013,1,0,39,0,0,28/08/2013,2,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b006,male,7 /1 /2010,15/03/2011,sick,8 /18/2010,1,0,1.5,0,0,15/03/2011,2,2010,0,0,8.566666603,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b006,male,7 /1 /2010,15/03/2011,sick,8 /16/2011,0,1,1.5,0,0,15/03/2011,,2011,1,0,8.566666603,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,0.411616956,0,-0.434013024,-0.24751288,-0.133920167,0,-0.264387234,-0.123335223,-0.09239961,-0.037739507,-0.040000621,-0.033620717,-0.04686716,0,-2.508952901,-2.840800011,-2.431441226,1.025648058,0,-3.132335499,-3.646167736,-4.122117493,0,-2.420031581,-2.622662734,-2.877677365,-2.789048194,-2.619196843,-2.917747833,-2.842639745
Buyubi,Bhh004,b006,male,7 /1 /2010,15/03/2011,sick,8 /16/2012,0,1,,0,0,15/03/2011,,2012,2,0,8.566666603,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b006,male,7 /1 /2010,15/03/2011,sick,8 /28/2013,0,1,,0,0,15/03/2011,,2013,3,0,8.566666603,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh005,b007,male,6 /15/2010,,,8 /18/2010,1,0,2,0,0,28/08/2013,3,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh005,b007,male,6 /15/2010,,,8 /16/2011,1,0,14,0,0,28/08/2013,5,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh005,b007,male,6 /15/2010,,,8 /16/2012,1,0,26,0,0,28/08/2013,4,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh005,b007,male,6 /15/2010,,,8 /28/2013,1,0,38,0,0,28/08/2013,3,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh005,b008,male,8 /15/2010,15/06/2012,sick,8 /18/2010,1,0,12,0,0,15/06/2012,5,2010,0,0,22.33333397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh005,b008,male,8 /15/2010,15/06/2012,sick,8 /16/2011,1,0,24,0,0,15/06/2012,4,2011,1,0,22.33333397,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh005,b008,male,8 /15/2010,15/06/2012,sick,8 /16/2012,0,1,,0,0,15/06/2012,,2012,2,0,22.33333397,1,1,2,1,0,-0.210935848,-0.283950338,-0.264674466,0.393734296,0,-0.400067242,0.712165127,-0.137020198,0,-0.16303237,-0.138350344,0.833613796,-0.099807834,-0.102572805,-0.075389839,-0.105913187,0,-1.753195521,-2.513412002,-2.191935819,0.794026384,0,-0.581926154,1.040835735,-0.832845726,0,-0.381508398,-1.187014483,4.426697112,-1.973565861,-1.839948186,-0.81173064,-0.912090186
Buyubi,Bhh005,b008,male,8 /15/2010,15/06/2012,sick,8 /28/2013,0,1,,0,0,15/06/2012,,2013,3,0,22.33333397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b009,male,8 /15/2007,,,8 /18/2010,1,0,36,0,0,28/08/2013,4,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b009,male,8 /15/2007,,,8 /16/2011,1,0,48,0,0,28/08/2013,,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b009,male,8 /15/2007,,,8 /31/2012,1,0,60,0,0,28/08/2013,4,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b009,male,8 /15/2007,,,8 /28/2013,1,0,72,0,0,28/08/2013,,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b010,male,5 /15/2010,15/05/2011,hyena,8 /18/2010,1,0,3,0,0,15/05/2011,5,2010,0,0,12.16666698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b010,male,5 /15/2010,15/05/2011,hyena,8 /16/2011,0,1,12,0,0,15/05/2011,,2011,1,0,12.16666698,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,0.411616956,0,-0.434013024,-0.24751288,0.866079833,0,0.735612766,-0.123335223,-0.09239961,-0.037739507,-0.040000621,-0.033620717,-0.04686716,0,-1.350644434,-2.031542029,-2.235665464,0.493052704,0,-0.494911479,-0.224416248,3.239624014,0,2.286963837,-0.539536246,-0.726010792,-0.922093239,-0.503535626,-0.123535941,-0.065858026
Buyubi,Bhh006,b010,male,5 /15/2010,15/05/2011,hyena,8 /16/2012,0,1,,0,0,15/05/2011,,2012,2,0,12.16666698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b010,male,5 /15/2010,15/05/2011,hyena,8 /28/2013,0,1,,0,0,15/05/2011,,2013,3,0,12.16666698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b011,male,5 /15/2010,15/07/2011,trampled,8 /18/2010,1,0,3,0,0,15/07/2011,5,2010,0,0,14.19999981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b011,male,5 /15/2010,15/07/2011,trampled,8 /16/2011,0,1,12,0,0,15/07/2011,,2011,1,0,14.19999981,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,0.411616956,0,-0.434013024,-0.24751288,0.866079833,0,0.735612766,-0.123335223,-0.09239961,-0.037739507,-0.040000621,-0.033620717,-0.04686716,0,-1.350644434,-2.031542029,-2.235665464,0.493052704,0,-0.494911479,-0.224416248,3.239624014,0,2.286963837,-0.539536246,-0.726010792,-0.922093239,-0.503535626,-0.123535941,-0.065858026
Buyubi,Bhh006,b011,male,5 /15/2010,15/07/2011,trampled,8 /16/2012,0,1,,0,0,15/07/2011,,2012,2,0,14.19999981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b011,male,5 /15/2010,15/07/2011,trampled,8 /28/2013,0,1,,0,0,15/07/2011,,2013,3,0,14.19999981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b012,male,8 /15/2006,,,8 /18/2010,1,0,48,0,0,28/08/2013,4,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b012,male,8 /15/2006,,,8 /16/2011,1,0,60,0,0,28/08/2013,,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b012,male,8 /15/2006,,,8 /16/2012,1,0,72,0,0,28/08/2013,3,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh006,b012,male,8 /15/2006,,,8 /28/2013,1,0,84,0,0,28/08/2013,,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh007,b013,male,8 /15/2006,,,8 /19/2010,1,0,48,0,0,29/08/2013,5,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh007,b013,male,8 /15/2006,,,8 /17/2011,1,0,60,0,0,29/08/2013,5,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh007,b013,male,8 /15/2006,,,8 /16/2012,1,0,72,0,0,29/08/2013,4,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh007,b013,male,8 /15/2006,,,8 /29/2013,1,0,84,0,0,29/08/2013,1,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh007,b014,female,8 /15/2009,,,8 /19/2010,1,0,12,0,0,19/08/2010,4,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh007,b014,female,8 /15/2009,,,8 /17/2011,0,1,,0,0,19/08/2010,,2011,1,0,,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,-0.588383044,0,-0.434013024,0.75248712,-0.133920167,0,-0.264387234,-0.123335223,0.90760039,-0.037739507,-0.040000621,-0.033620717,-0.04686716,0,-1.884771282,-2.264619855,-2.152734506,-1.282376957,0,-0.294145656,1.59119605,-0.327401259,0,-0.108734399,-0.72051871,5.079980214,-0.644224031,-0.906363839,-0.105755304,-0.055204489
Buyubi,Bhh007,b014,female,8 /15/2009,,,8 /16/2012,0,1,,0,0,19/08/2010,,2012,2,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh007,b014,female,8 /15/2009,,,8 /29/2013,0,1,,0,0,19/08/2010,,2013,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh008,b015,male,8 /15/2004,15/12/2012,sick,8 /19/2010,1,0,72,0,0,15/12/2012,5,2010,0,0,101.4666672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh008,b015,male,8 /15/2004,15/12/2012,sick,8 /17/2011,1,0,84,0,0,15/12/2012,5,2011,1,0,101.4666672,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh008,b015,male,8 /15/2004,15/12/2012,sick,8 /17/2012,1,0,96,0,0,15/12/2012,4,2012,2,0,101.4666672,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh008,b015,male,8 /15/2004,15/12/2012,sick,8 /29/2013,0,1,,0,0,15/12/2012,,2013,3,0,101.4666672,1,1,3,2,0,-0.200720573,-0.276526989,-0.259540437,0.374493175,0,-0.397754328,0.748617215,-0.129139671,0,-0.163762852,-0.102009493,-0.197514361,-0.131366631,-0.143506066,-0.0722459,0.89177515,0,-1.281769351,-2.003749715,-1.89131947,0.512413326,0,-0.13756048,1.787197231,-0.20041014,0,-0.308758744,-0.964862561,-1.803297652,-2.280447366,-2.255075245,-0.65046915,5.905859072
Buyubi,Bhh009,b016,male,8 /15/2009,15/06/2013,sick,8 /19/2010,1,0,12,0,0,15/06/2013,4,2010,0,0,46.66666794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh009,b016,male,8 /15/2009,15/06/2013,sick,8 /17/2011,1,0,24,0,0,15/06/2013,3,2011,1,0,46.66666794,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh009,b016,male,8 /15/2009,15/06/2013,sick,8 /17/2012,1,0,36,0,0,15/06/2013,4,2012,2,0,46.66666794,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh009,b016,male,8 /15/2009,15/06/2013,sick,8 /29/2013,0,1,,0,0,15/06/2013,,2013,3,0,46.66666794,1,1,3,2,0,-0.200720573,-0.276526989,-0.259540437,0.374493175,0,-0.397754328,0.748617215,-0.129139671,0,-0.163762852,-0.102009493,0.802485639,-0.131366631,-0.143506066,-0.0722459,-0.10822485,0,-1.712870901,-2.442687271,-2.140292455,0.735862586,0,-0.46497418,1.242772197,-0.703681358,0,-0.430602671,-1.065514644,4.134798968,-2.419462168,-2.360898751,-0.836716471,-1.001870583
Buyubi,Bhh009,b017,female,3 /15/2010,,,8 /19/2010,1,0,5,0,0,29/08/2013,3,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh009,b017,female,3 /15/2010,,,8 /17/2011,1,0,18,1,0,29/08/2013,4,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh009,b017,female,3 /15/2010,,,8 /17/2012,1,0,30,0,0,29/08/2013,3,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh009,b017,female,3 /15/2010,,,8 /29/2013,1,0,42,1,0,29/08/2013,3,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh010,b018,male,8 /15/2007,15/07/2011,sick,8 /19/2010,1,0,36,0,0,15/07/2011,5,2010,0,0,47.66666794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh010,b018,male,8 /15/2007,15/07/2011,sick,8 /17/2011,0,1,24,0,0,15/07/2011,,2011,1,0,47.66666794,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,0.411616956,0,-0.434013024,-0.24751288,0.866079833,0,-0.264387234,-0.123335223,-0.09239961,-0.037739507,0.959999379,-0.033620717,-0.04686716,0,-0.851963214,-1.591929463,-2.07005814,0.769698116,0,-0.610605965,-1.013569663,2.883656857,0,0.051596793,-0.348797352,-0.258676141,-0.463793739,9.840144132,0.190701911,0.385456204
Buyubi,Bhh010,b018,male,8 /15/2007,15/07/2011,sick,8 /17/2012,0,1,,0,0,15/07/2011,,2012,2,0,47.66666794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh010,b018,male,8 /15/2007,15/07/2011,sick,8 /29/2013,0,1,,0,0,15/07/2011,,2013,3,0,47.66666794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh011,b019,female,8 /15/2009,,,8 /19/2010,1,0,12,0,0,15/12/2012,4,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh011,b019,female,8 /15/2009,,,8 /17/2011,1,0,24,0,1,15/12/2012,3,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh011,b019,female,8 /15/2009,,,8 /17/2012,1,0,36,0,0,15/12/2012,3,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh011,b019,female,8 /15/2009,,,8 /29/2013,0,1,,0,0,15/12/2012,,2013,3,0,,1,1,3,2,0,-0.200720573,-0.276526989,-0.259540437,-0.625506825,0,0.602245672,-0.251382785,-0.129139671,0,-0.163762852,-0.102009493,0.802485639,-0.131366631,-0.143506066,-0.0722459,-0.10822485,0,-1.75066792,-2.56614875,-2.337516578,-1.290665437,0,0.884571617,-0.503775313,-0.600760324,0,-0.785255819,-1.505694504,3.763669527,-2.526203314,-2.318738382,-1.493978658,-1.366562099
Buyubi,Bhh012,b020,female,5 /15/2010,15/10/2010,sick,8 /19/2010,1,0,3,0,0,15/10/2010,2,2010,0,0,5.099999905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh012,b020,female,5 /15/2010,15/10/2010,sick,8 /17/2011,0,1,5,0,0,15/10/2010,,2011,1,0,5.099999905,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,-0.588383044,0,-0.434013024,-0.24751288,-0.133920167,0,0.735612766,-0.123335223,-0.09239961,-0.037739507,-0.040000621,-0.033620717,-0.04686716,0,-2.460522993,-2.745736423,-2.448572408,-1.286509384,0,-2.641051698,-2.514601369,-2.643715557,0,1.341157255,-1.255123826,-1.702078977,-1.198168861,-1.370020464,-1.666840656,-1.321748168
Buyubi,Bhh012,b020,female,5 /15/2010,15/10/2010,sick,8 /17/2012,0,1,,0,0,15/10/2010,,2012,2,0,5.099999905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh012,b020,female,5 /15/2010,15/10/2010,sick,8 /29/2013,0,1,,0,0,15/10/2010,,2013,3,0,5.099999905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b021,male,8 /15/2004,,,8 /20/2010,1,0,72,0,0,30/08/2013,5,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b021,male,8 /15/2004,,,8 /17/2011,1,0,84,0,0,30/08/2013,5,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b021,male,8 /15/2004,,,8 /18/2012,1,0,96,0,0,30/08/2013,3,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b021,male,8 /15/2004,,,8 /30/2013,1,0,108,0,0,30/08/2013,4,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b022,female,8 /15/2009,,,8 /20/2010,1,0,12,1,0,30/08/2013,4,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b022,female,8 /15/2009,,,8 /17/2011,1,0,24,0,0,30/08/2013,3,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b022,female,8 /15/2009,,,8 /18/2012,1,0,36,0,0,30/08/2013,2,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh013,b022,female,8 /15/2009,,,8 /30/2013,1,0,48,0,0,30/08/2013,2,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh014,b023,male,8 /15/2004,15/12/2010,sick,8 /20/2010,1,0,72,0,0,15/12/2010,5,2010,0,0,77.09999847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh014,b023,male,8 /15/2004,15/12/2010,sick,8 /18/2011,0,1,72,0,0,15/12/2010,,2011,1,0,77.09999847,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,0.411616956,0,-0.434013024,-0.24751288,0.866079833,0,-0.264387234,-0.123335223,-0.09239961,-0.037739507,-0.040000621,-0.033620717,0.95313284,0,-0.605093892,-1.601784864,-2.032007534,0.631280777,0,-0.220914557,-0.07860903,3.411479501,0,0.184894651,-0.3064952,-0.257451862,-0.49843044,0.081076461,0.343978604,7.188586632
Buyubi,Bhh014,b023,male,8 /15/2004,15/12/2010,sick,8 /18/2012,0,1,,0,0,15/12/2010,,2012,2,0,77.09999847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh014,b023,male,8 /15/2004,15/12/2010,sick,8 /30/2013,0,1,,0,0,15/12/2010,,2013,3,0,77.09999847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh014,b024,male,2 /15/2010,15/12/2010,dogs,8 /20/2010,1,0,8,0,0,15/12/2010,3,2010,0,0,10.10000038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh014,b024,male,2 /15/2010,15/12/2010,dogs,8 /18/2011,0,1,12,0,0,15/12/2010,,2011,1,0,10.10000038,1,1,1,0,0,-0.300625586,-0.236334503,-0.229367911,0.411616956,0,0.565986976,-0.24751288,-0.133920167,0,-0.264387234,0.876664777,-0.09239961,-0.037739507,-0.040000621,-0.033620717,-0.04686716,0,-1.982572355,-2.386531674,-2.249274165,0.730695677,0,0.284617029,-0.843628764,-0.965437313,0,-0.856161254,4.26233727,-1.234834853,-1.357235536,-0.980282109,-0.599587876,-0.771731449
Buyubi,Bhh014,b024,male,2 /15/2010,15/12/2010,dogs,8 /18/2012,0,1,,0,0,15/12/2010,,2012,2,0,10.10000038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh014,b024,male,2 /15/2010,15/12/2010,dogs,8 /30/2013,0,1,,0,0,15/12/2010,,2013,3,0,10.10000038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh015,b025,female,8 /15/2003,15/06/2013,sick,8 /20/2010,1,0,84,1,0,15/06/2013,5,2010,0,0,119.7333298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh015,b025,female,8 /15/2003,15/06/2013,sick,8 /18/2011,1,0,96,1,0,15/06/2013,3,2011,1,0,119.7333298,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh015,b025,female,8 /15/2003,15/06/2013,sick,8 /18/2012,1,0,108,0,0,15/06/2013,3,2012,2,0,119.7333298,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
